Column1,Column2,Column3,label
House Shett of Gull Tower,LED_BY,Damon Shett,LED_BY
House Liddle,LED_BY,Torren Liddle,LED_BY
House Umber of the Last Hearth,LED_BY,Jon Umber,LED_BY
House Vance of Wayfarer's Rest,LED_BY,Karyl Vance,LED_BY
House Stokeworth of Stokeworth,LED_BY,Lollys Stokeworth,LED_BY
House Blackmont of Blackmont,LED_BY,Larra Blackmont,LED_BY
House Fowler of Skyreach,LED_BY,Frankyln Fowler,LED_BY
House Tollett of the Grey Glen,LED_BY,Uthor Tollett,LED_BY
House Slynt of Harrenhal,LED_BY,Morros Slynt,LED_BY
House Greyjoy of Pyke,LED_BY,Euron Greyjoy,LED_BY
House Oakheart of Old Oak,LED_BY,Arwyn Oakheart,LED_BY
House Allyrion of Godsgrace,LED_BY,Delonne Allyrion,LED_BY
House Gargalen of Salt Shore,LED_BY,Tremond Gargalen,LED_BY
House Ryswell of the Rills,LED_BY,Rodrik Ryswell,LED_BY
House Tallhart of Torrhen's Square,LED_BY,Eddara Tallhart,LED_BY
House Crakehall of Crakehall,LED_BY,Roland Crakehall,LED_BY
House Dondarrion of Blackhaven,LED_BY,Beric Dondarrion,LED_BY
House Hayford of Hayford,LED_BY,Ermesande Hayford,LED_BY
House Ambrose,LED_BY,Arthur Ambrose,LED_BY
Daemon Targaryen,SPOUSE,Laena Velaryon,SPOUSE
Leobald Tallhart,SPOUSE,Berena Hornwood,SPOUSE
Tyrek Lannister,SPOUSE,Ermesande Hayford,SPOUSE
Unknown,SPOUSE,Ambrose Butterwell,SPOUSE
Jon Cupps,SPOUSE,Leyla Hightower,SPOUSE
Alannys Harlaw,SPOUSE,Balon Greyjoy,SPOUSE
Walter Whent,SPOUSE,Shella Whent,SPOUSE
Jorah Mormont,SPOUSE,Lynesse Hightower,SPOUSE
Roslin Frey,SPOUSE,Edmure Tully,SPOUSE
Dafyn Vance,SPOUSE,Maegelle Frey,SPOUSE
Rhaenyra Targaryen,SPOUSE,Laenor Velaryon.,SPOUSE
Rhaena Targaryen,SPOUSE,Aegon Targaryen,SPOUSE
Hosman Norcross,SPOUSE,Delena Florent,SPOUSE
Baelon Targaryen,SPOUSE,Alyssa Targaryen,SPOUSE
Lothar Frey,SPOUSE,Leonella Lefford,SPOUSE
Rickard Stark,SPOUSE,Lyarra Stark,SPOUSE
Craster,SPOUSE,Nella,SPOUSE
Robyn Ryswell,SPOUSE,Jonnel Stark,SPOUSE
Rhaelle Targaryen,SPOUSE,Ormund Baratheon,SPOUSE
Elenei,SPOUSE,Durran,SPOUSE
Theomar Smallwood,SPOUSE,Ravella Swann,SPOUSE
Craster,SPOUSE,Gilly,SPOUSE
Ryella Royce,SPOUSE,Arwood Frey,SPOUSE
Pate,SPOUSE,Amerei Frey,SPOUSE
Ramsay Snow,SPOUSE,Jeyne Poole,SPOUSE
Jon Arryn,SPOUSE,Jeyne Royce,SPOUSE
Craster,SPOUSE,Dyah,SPOUSE
Sylva Santagar,SPOUSE,Eldon Estermont,SPOUSE
Aegon I,SPOUSE,Rhaenys Targaryen,SPOUSE
Walder Frey,SPOUSE,Bethany Rosby,SPOUSE
Viserys I,SPOUSE,Alicent Hightower,SPOUSE
Marna Locke,SPOUSE,Edwyle Stark,SPOUSE
Leo Tyrell,SPOUSE,Alys Beesbury,SPOUSE
Steffon Baratheon,SPOUSE,Cassana Estermont,SPOUSE
Aegon III,SPOUSE,Daenaera Velaryon,SPOUSE
Jeyne Westerling,SPOUSE,Alyn Tarbeck,SPOUSE
Ysilla Royce,SPOUSE,Mychel Redfort,SPOUSE
Serala of Myr,SPOUSE,Denys Darklyn,SPOUSE
Rhea Royce,SPOUSE,Daemon Targaryen,SPOUSE
Wylis Manderly,SPOUSE,Leona Woolfield,SPOUSE
Simon Toyne,ALLIED_WITH,House Toyne,ALLIED_WITH
Joanna Swyft,ALLIED_WITH,House Swyft of Cornfield,ALLIED_WITH
Theomore Lannister,ALLIED_WITH,House Manderly of White Harbor,ALLIED_WITH
Boros Blount,ALLIED_WITH,House Blount,ALLIED_WITH
Myranda Royce,ALLIED_WITH,House Royce of the Gates of the Moon,ALLIED_WITH
Obella Sand,ALLIED_WITH,House Nymeros Martell of Sunspear,ALLIED_WITH
Alys Beesbury,ALLIED_WITH,House Beesbury of Honeyholt,ALLIED_WITH
Kella,ALLIED_WITH,House Baelish of the Fingers,ALLIED_WITH
Cregan Karstark,ALLIED_WITH,House Karstark of Karhold,ALLIED_WITH
Jeyne Darry,ALLIED_WITH,House Darry of Darry,ALLIED_WITH
Amarei Crakehall,ALLIED_WITH,House Frey of the Crossing,ALLIED_WITH
Dacks,ALLIED_WITH,House Redfort of Redfort,ALLIED_WITH
Clegane,ALLIED_WITH,House Lannister of Casterly Rock,ALLIED_WITH
Hugo Wull,ALLIED_WITH,House Wull,ALLIED_WITH
Jarman Buckwell,ALLIED_WITH,House Buckwell of the Antlers,ALLIED_WITH
Tyrion Lannister,ALLIED_WITH,House Lannister of Casterly Rock,ALLIED_WITH
Bethany Rosby,ALLIED_WITH,House Frey of the Crossing,ALLIED_WITH
Robyn Ryswell,ALLIED_WITH,House Ryswell of the Rills,ALLIED_WITH
Tristan Ryger,ALLIED_WITH,House Ryger of Willow Wood,ALLIED_WITH
Barristan Selmy,ALLIED_WITH,House Selmy of Harvest Hall,ALLIED_WITH
Gage,ALLIED_WITH,House Stark of Winterfell,ALLIED_WITH
Domeric Bolton,ALLIED_WITH,House Bolton of the Dreadfort,ALLIED_WITH
Alerie Hightower,ALLIED_WITH,House Tyrell of Highgarden,ALLIED_WITH
Donel Greyjoy,ALLIED_WITH,House Greyjoy of Pyke,ALLIED_WITH
Hugh Beesbury,ALLIED_WITH,House Beesbury of Honeyholt,ALLIED_WITH
Halys Hornwood,ALLIED_WITH,House Hornwood of Hornwood,ALLIED_WITH
Waymar Royce,ALLIED_WITH,House Royce of Runestone,ALLIED_WITH
Kyle Condon,ALLIED_WITH,House Condon,ALLIED_WITH
Eustace Brune,ALLIED_WITH,House Brune of the Dyre Den,ALLIED_WITH
Rupert Crabb,ALLIED_WITH,House Crabb,ALLIED_WITH
Sigfry Stonetree,ALLIED_WITH,House Stonetree of Harlaw,ALLIED_WITH
Aegor Rivers,ALLIED_WITH,House Blackfyre of King's Landing,ALLIED_WITH
Osney Kettleblack,ALLIED_WITH,House Kettleblack,ALLIED_WITH
Lharys,ALLIED_WITH,House Bracken of Stone Hedge,ALLIED_WITH
Jonothor Darry,ALLIED_WITH,House Darry of Darry,ALLIED_WITH
Mord,ALLIED_WITH,House Arryn of the Eyrie,ALLIED_WITH
Rennifer Longwaters,ALLIED_WITH,House Longwaters,ALLIED_WITH
Megga Tyrell,ALLIED_WITH,House Tyrell of Highgarden,ALLIED_WITH
Melwyn Sarsfield,ALLIED_WITH,House Sarsfield of Sarsfield,ALLIED_WITH
Moryn Tyrell,ALLIED_WITH,House Tyrell of Highgarden,ALLIED_WITH
Quenton Greyjoy,ALLIED_WITH,House Greyjoy of Pyke,ALLIED_WITH
Grunt,ALLIED_WITH,House Bolton of the Dreadfort,ALLIED_WITH
Lew,ALLIED_WITH,House Tully of Riverrun,ALLIED_WITH
Aemma Arryn,ALLIED_WITH,House Arryn of the Eyrie,ALLIED_WITH
Humfrey Wagstaff,ALLIED_WITH,House Grandison of Grandview,ALLIED_WITH
Ambrose Butterwell,ALLIED_WITH,House Butterwell,ALLIED_WITH
Willem Frey,ALLIED_WITH,House Frey of Riverrun,ALLIED_WITH
Alyn Stackspear,ALLIED_WITH,House Stackspear,ALLIED_WITH
Alysanne Bulwer,ALLIED_WITH,House Bulwer of Blackcrown,ALLIED_WITH
Axell Florent,ALLIED_WITH,House Florent of Brightwater Keep,ALLIED_WITH
Imry Florent,ALLIED_WITH,House Florent of Brightwater Keep,ALLIED_WITH
Jon Bulwer,ALLIED_WITH,House Bulwer of Blackcrown,ALLIED_WITH
Joyeuse Erenford,ALLIED_WITH,House Erenford,ALLIED_WITH
Ella Lannister,ALLIED_WITH,House Lannister of Casterly Rock,ALLIED_WITH
Olenna Redwyne,ALLIED_WITH,House Redwyne of the Arbor,ALLIED_WITH
Waltyr Frey,ALLIED_WITH,House Frey of the Crossing,ALLIED_WITH
Osfryd Kettleblack,ALLIED_WITH,House Kettleblack,ALLIED_WITH
Barth,ALLIED_WITH,House Stark of Winterfell,ALLIED_WITH
Gerrick,ALLIED_WITH,House Redbeard,ALLIED_WITH
Dagon Greyjoy,ALLIED_WITH,House Greyjoy of Pyke,ALLIED_WITH
Pate,ALLIED_WITH,House Osgrey of Standfast,ALLIED_WITH
Selyse Florent,ALLIED_WITH,House Baratheon of Dragonstone,ALLIED_WITH
Poul Pemford,ALLIED_WITH,House Tully of Riverrun,ALLIED_WITH
Orton Merryweather,ALLIED_WITH,House Merryweather of Longtable,ALLIED_WITH
Ulwyck Uller,ALLIED_WITH,House Uller of Hellholt,ALLIED_WITH
Rodrik Ryswell,ALLIED_WITH,House Ryswell of the Rills,ALLIED_WITH
Oswell Kettleblack,ALLIED_WITH,House Kettleblack,ALLIED_WITH
Whalen Frey,ALLIED_WITH,House Frey of the Crossing,ALLIED_WITH
Rhaena Targaryen,ALLIED_WITH,House Hightower of the Hightower,ALLIED_WITH
Jeyne Beesbury,ALLIED_WITH,House Frey of the Crossing,ALLIED_WITH
Denys Mallister,ALLIED_WITH,House Mallister of Seagard,ALLIED_WITH
Ethan Glover,ALLIED_WITH,House Glover of Deepwood Motte,ALLIED_WITH
Lorra Royce,ALLIED_WITH,House Royce of Runestone,ALLIED_WITH
Joseth,ALLIED_WITH,House Stark of Winterfell,ALLIED_WITH
Vickon Greyjoy,ALLIED_WITH,House Greyjoy of Pyke,ALLIED_WITH
Symond Frey,ALLIED_WITH,House Frey of the Crossing,ALLIED_WITH
Perwyn Osgrey,ALLIED_WITH,House Osgrey of Standfast,ALLIED_WITH
Orbert Caswell,ALLIED_WITH,House Caswell of Bitterbridge,ALLIED_WITH
Leonette Fossoway,ALLIED_WITH,House Tyrell of Brightwater Keep,ALLIED_WITH
Merrell Florent,ALLIED_WITH,House Florent of Brightwater Keep,ALLIED_WITH
Darlessa Marbrand,ALLIED_WITH,House Marbrand of Ashemark,ALLIED_WITH
Tywin Frey,ALLIED_WITH,House Frey of Riverrun,ALLIED_WITH
Weese,ALLIED_WITH,House Lannister of Casterly Rock,ALLIED_WITH
Morgil Hastwyck,ALLIED_WITH,House Hastwyck,ALLIED_WITH
Sybell Spicer,ALLIED_WITH,House Spicer of Castamere,ALLIED_WITH
Myles Smallwood,ALLIED_WITH,House Smallwood of Acorn Hall,ALLIED_WITH
Harlon Greyjoy,ALLIED_WITH,House Greyjoy of Pyke,ALLIED_WITH
Rodrik Cassel,ALLIED_WITH,House Stark of Winterfell,ALLIED_WITH
Osmund Frey,ALLIED_WITH,House Frey of the Crossing,ALLIED_WITH
Arstan Selmy,ALLIED_WITH,House Selmy of Harvest Hall,ALLIED_WITH
Merlon Crakehall,ALLIED_WITH,House Crakehall of Crakehall,ALLIED_WITH
Ellyn Reyne,ALLIED_WITH,House Tarbeck of Tarbeck Hall,ALLIED_WITH
Shadrich,ALLIED_WITH,House Baelish of Harrenhal,ALLIED_WITH
Janyce Hunter,ALLIED_WITH,House Hunter of Longbow Hall,ALLIED_WITH
Hilmar Drumm,ALLIED_WITH,House Drumm of Old Wyk,ALLIED_WITH
Qarl Correy,ALLIED_WITH,House Velaryon of Driftmark,ALLIED_WITH
Vylarr,ALLIED_WITH,House Lannister of Casterly Rock,ALLIED_WITH
Alyn Cockshaw,ALLIED_WITH,House Cockshaw,ALLIED_WITH
Baelor Targaryen,ALLIED_WITH,House Targaryen of King's Landing,ALLIED_WITH
Mellei,ALLIED_WITH,House Nymeros Martell of Sunspear,ALLIED_WITH
Steffon Varner,ALLIED_WITH,House Varner,ALLIED_WITH
Pycelle,ALLIED_WITH,House Targaryen of King's Landing,ALLIED_WITH
Marya Seaworth,ALLIED_WITH,House Seaworth of Cape Wrath,ALLIED_WITH
Benjen Stark,ALLIED_WITH,House Stark of Winterfell,ALLIED_WITH
Victarion Greyjoy,ALLIED_WITH,House Greyjoy of Pyke,ALLIED_WITH
Jonos Bracken,ALLIED_WITH,House Bracken of Stone Hedge,ALLIED_WITH
Jon Stark,ALLIED_WITH,House Stark of Winterfell,ALLIED_WITH
Rollam Westerling,ALLIED_WITH,House Westerling of the Crag,ALLIED_WITH
William Mooton,ALLIED_WITH,House Mooton of Maidenpool,ALLIED_WITH
Lynesse Hightower,ALLIED_WITH,House Hightower of the Hightower,ALLIED_WITH
Elia Sand,ALLIED_WITH,House Nymeros Martell of Sunspear,ALLIED_WITH
Andrew Estermont,ALLIED_WITH,House Estermont of Greenstone,ALLIED_WITH
Ramsay Snow,ALLIED_WITH,House Bolton of the Dreadfort,ALLIED_WITH
Edric Storm,ALLIED_WITH,House Baratheon of Storm's End,ALLIED_WITH
Robert Paege,ALLIED_WITH,House Paege,ALLIED_WITH
Jonos Frey,ALLIED_WITH,House Frey of the Crossing,ALLIED_WITH
Daeron Vaith,ALLIED_WITH,House Vaith of the Red Dunes,ALLIED_WITH
Leobald Tallhart,ALLIED_WITH,House Tallhart of Torrhen's Square,ALLIED_WITH
Tybolt Lannister,ALLIED_WITH,House Lannister of Casterly Rock,ALLIED_WITH
Lyonel Frey,ALLIED_WITH,House Frey of Riverrun,ALLIED_WITH
Lew,ALLIED_WITH,House Stark of Winterfell,ALLIED_WITH
Ellaria Sand,ALLIED_WITH,House Uller of Hellholt,ALLIED_WITH
Aurane Waters,ALLIED_WITH,House Velaryon of Driftmark,ALLIED_WITH
Benedict Broom,ALLIED_WITH,House Broom,ALLIED_WITH
Daryn Hornwood,ALLIED_WITH,House Hornwood of Hornwood,ALLIED_WITH
Raynard Ruttiger,ALLIED_WITH,House Ruttiger,ALLIED_WITH
Waldon Wynch,ALLIED_WITH,House Wynch of Iron Holt,ALLIED_WITH
Unknown,ALLIED_WITH,House Frey of the Crossing,ALLIED_WITH
Edderion Stark,ALLIED_WITH,House Stark of Winterfell,ALLIED_WITH
Talla Tarly,ALLIED_WITH,House Tarly of Horn Hill,ALLIED_WITH
Aggo,ALLIED_WITH,House Targaryen of King's Landing,ALLIED_WITH
Damon Paege,ALLIED_WITH,House Paege,ALLIED_WITH
Elaena Targaryen,ALLIED_WITH,House Targaryen of King's Landing,ALLIED_WITH
Branston Cuy,ALLIED_WITH,House Cuy of Sunhouse,ALLIED_WITH
Damon Lannister,ALLIED_WITH,House Lannister of Casterly Rock,ALLIED_WITH
Gerold Lannister,ALLIED_WITH,House Lannister of Casterly Rock,ALLIED_WITH
Rolland Darklyn,ALLIED_WITH,House Darklyn of Duskendale,ALLIED_WITH
Ormund Baratheon,ALLIED_WITH,House Baratheon of Storm's End,ALLIED_WITH
Myrcella Baratheon,ALLIED_WITH,House Baratheon of King's Landing,ALLIED_WITH
Eustace Hunter,ALLIED_WITH,House Hunter of Longbow Hall,ALLIED_WITH
Calon,ALLIED_WITH,House Stark of Winterfell,ALLIED_WITH
Ronel Rivers,ALLIED_WITH,House Frey of the Crossing,ALLIED_WITH
Brenett,ALLIED_WITH,House Frey of the Crossing,ALLIED_WITH
Maelor Targaryen,ALLIED_WITH,House Targaryen of King's Landing,ALLIED_WITH
Betha Blackwood,ALLIED_WITH,House Targaryen of King's Landing,ALLIED_WITH
Dickon Manwoody,ALLIED_WITH,House Manwoody of Kingsgrave,ALLIED_WITH
Joffrey Caswell,ALLIED_WITH,House Caswell of Bitterbridge,ALLIED_WITH
Jena Dondarrion,ALLIED_WITH,House Targaryen of King's Landing,ALLIED_WITH
Arya Flint,ALLIED_WITH,House Flint  of the mountains,ALLIED_WITH
Rhaelle Targaryen,ALLIED_WITH,House Baratheon of Storm's End,ALLIED_WITH
Danwell Frey,ALLIED_WITH,House Frey of the Crossing,ALLIED_WITH
Tybolt Hetherspoon,ALLIED_WITH,House Hetherspoon,ALLIED_WITH
Elyn Norridge,ALLIED_WITH,House Norridge,ALLIED_WITH
Jory Cassel,ALLIED_WITH,House Cassel,ALLIED_WITH
Asha Greyjoy,ALLIED_WITH,House Greyjoy of Pyke,ALLIED_WITH
Jon Arryn,ALLIED_WITH,House Arryn of the Eyrie,ALLIED_WITH
Grey Worm,ALLIED_WITH,House Targaryen of King's Landing,ALLIED_WITH
Harwin,ALLIED_WITH,House Stark of Winterfell,ALLIED_WITH
Saera Targaryen,ALLIED_WITH,House Targaryen of King's Landing,ALLIED_WITH
Arya Flint,ALLIED_WITH,House Stark of Winterfell,ALLIED_WITH
Alester Oakheart,ALLIED_WITH,House Oakheart of Old Oak,ALLIED_WITH
Igon Vyrwel,ALLIED_WITH,House Vyrwel of Darkdell,ALLIED_WITH
Jynessa Blackmont,ALLIED_WITH,House Blackmont of Blackmont,ALLIED_WITH
Harra,ALLIED_WITH,House Whent of Harrenhal,ALLIED_WITH
Erik Ironmaker,ALLIED_WITH,House Greyjoy of Pyke,ALLIED_WITH
Johanna Lannister,ALLIED_WITH,House Lannister of Casterly Rock,ALLIED_WITH
Oswell Kettleblack,ALLIED_WITH,House Baelish of Harrenhal,ALLIED_WITH
Jeyne Westerling,ALLIED_WITH,House Tarbeck of Tarbeck Hall,ALLIED_WITH
Gawen Swann,ALLIED_WITH,House Swann of Stonehelm,ALLIED_WITH
Barbrey Dustin,ALLIED_WITH,House Dustin of Barrowton,ALLIED_WITH
Ynys Yronwood,ALLIED_WITH,House Yronwood of Yronwood,ALLIED_WITH
Josmyn Peckledon,ALLIED_WITH,House Peckledon,ALLIED_WITH
Balon Swann,ALLIED_WITH,House Swann of Stonehelm,ALLIED_WITH
Alyn Velaryon,ALLIED_WITH,House Targaryen of King's Landing,ALLIED_WITH
Brella,ALLIED_WITH,House Lannister of Casterly Rock,ALLIED_WITH
Melara Hetherspoon,ALLIED_WITH,House Hetherspoon,ALLIED_WITH
Gilbert Farring,ALLIED_WITH,House Farring,ALLIED_WITH
Colemon,ALLIED_WITH,House Arryn of the Eyrie,ALLIED_WITH
Melissa Blackwood,ALLIED_WITH,House Blackwood of Raventree Hall,ALLIED_WITH
Turnip,ALLIED_WITH,House Stark of Winterfell,ALLIED_WITH
Arwyn Frey,ALLIED_WITH,House Frey of the Crossing,ALLIED_WITH
Eddard Stark,ALLIED_WITH,House Stark of Winterfell,ALLIED_WITH
Leslyn Haigh,ALLIED_WITH,House Haigh,ALLIED_WITH
Sebaston Farman,ALLIED_WITH,House Farman of Faircastle,ALLIED_WITH
Gyles Rosby,ALLIED_WITH,House Rosby of Rosby,ALLIED_WITH
Robin Moreland,ALLIED_WITH,House Moreland,ALLIED_WITH
Lothar Mallery,ALLIED_WITH,House Mallery,ALLIED_WITH
Alvyn Sharp,ALLIED_WITH,House Sharp,ALLIED_WITH
Selmond Stackspear,ALLIED_WITH,House Stackspear,ALLIED_WITH
Jacelyn Bywater,ALLIED_WITH,House Bywater,ALLIED_WITH
Hayhead,ALLIED_WITH,House Stark of Winterfell,ALLIED_WITH
Lyonel Tyrell,ALLIED_WITH,House Tyrell of Highgarden,ALLIED_WITH
Lyonel Selmy,ALLIED_WITH,House Selmy of Harvest Hall,ALLIED_WITH
Lamprey,ALLIED_WITH,House Baratheon of Dragonstone,ALLIED_WITH
Edgerran Oakheart,ALLIED_WITH,House Oakheart of Old Oak,ALLIED_WITH
Donnel Locke,ALLIED_WITH,House Locke of Oldcastle,ALLIED_WITH
Theomore Harlaw,ALLIED_WITH,House Harlaw of Harlaw,ALLIED_WITH
Shireen Baratheon,ALLIED_WITH,House Baratheon of Dragonstone,ALLIED_WITH
Lymond Goodbrook,ALLIED_WITH,House Goodbrook,ALLIED_WITH
Tristifer Botley,ALLIED_WITH,House Botley of Lordsport,ALLIED_WITH
Perra Royce,ALLIED_WITH,House Frey of the Crossing,ALLIED_WITH
Irri,ALLIED_WITH,House Targaryen of King's Landing,ALLIED_WITH
Cley Cerwyn,ALLIED_WITH,House Cerwyn of Cerwyn,ALLIED_WITH
Ysilla Royce,ALLIED_WITH,House Redfort of Redfort,ALLIED_WITH
Ryon Allyrion,ALLIED_WITH,House Allyrion of Godsgrace,ALLIED_WITH
Gerion Lannister,ALLIED_WITH,House Lannister of Casterly Rock,ALLIED_WITH
Edmure Tully,ALLIED_WITH,House Tully of Riverrun,ALLIED_WITH
Lucimore Botley,ALLIED_WITH,House Botley of Lordsport,ALLIED_WITH
Eglantine,ALLIED_WITH,House Baratheon of King's Landing,ALLIED_WITH
Melantha Blackwood,ALLIED_WITH,House Stark of Winterfell,ALLIED_WITH
Bryce Caron,ALLIED_WITH,House Baratheon of Dragonstone,ALLIED_WITH
Harrold Osgrey,ALLIED_WITH,House Osgrey of Standfast,ALLIED_WITH
Tyene Sand,ALLIED_WITH,House Nymeros Martell of Sunspear,ALLIED_WITH
Grisel,ALLIED_WITH,House Baelish of the Fingers,ALLIED_WITH
Dorea Sand,ALLIED_WITH,House Nymeros Martell of Sunspear,ALLIED_WITH
Tyland Lannister,ALLIED_WITH,House Lannister of Casterly Rock,ALLIED_WITH
Mathis Frey,ALLIED_WITH,House Frey of the Crossing,ALLIED_WITH
Alla Tyrell,ALLIED_WITH,House Tyrell of Highgarden,ALLIED_WITH
Eyron Stark,ALLIED_WITH,House Stark of Winterfell,ALLIED_WITH
Balman Byrch,ALLIED_WITH,House Byrch,ALLIED_WITH
Damon,ALLIED_WITH,House Bolton of the Dreadfort,ALLIED_WITH
Damon Shett,ALLIED_WITH,House Shett of Gull Tower,ALLIED_WITH
Jon Fossoway,ALLIED_WITH,House Fossoway of New Barrel,ALLIED_WITH
Walton,ALLIED_WITH,House Bolton of the Dreadfort,ALLIED_WITH
Arya Stark,ALLIED_WITH,House Stark of Winterfell,ALLIED_WITH
Gulian Swann,ALLIED_WITH,House Swann of Stonehelm,ALLIED_WITH
Daven Lannister,ALLIED_WITH,House Lannister of Casterly Rock,ALLIED_WITH
Helman Tallhart,ALLIED_WITH,House Tallhart of Torrhen's Square,ALLIED_WITH
Ellaria Sand,ALLIED_WITH,House Nymeros Martell of Sunspear,ALLIED_WITH
Haegon Blackfyre,ALLIED_WITH,House Blackfyre of King's Landing,ALLIED_WITH
Benedar Belmore,ALLIED_WITH,House Belmore of Strongsong,ALLIED_WITH
Alyce Graceford,ALLIED_WITH,House Graceford of Holyhall,ALLIED_WITH
Jeyne Lothston,ALLIED_WITH,House Lothston of Harrenhal,ALLIED_WITH
Brynden Tully,ALLIED_WITH,House Tully of Riverrun,ALLIED_WITH
Lymond Mallister,ALLIED_WITH,House Mallister of Seagard,ALLIED_WITH
Jeyne Farman,ALLIED_WITH,House Clifton,ALLIED_WITH
Donella Hornwood,ALLIED_WITH,House Manderly of White Harbor,ALLIED_WITH
Harlon Botley,ALLIED_WITH,House Botley of Lordsport,ALLIED_WITH
Jon Connington,ALLIED_WITH,House Targaryen of King's Landing,ALLIED_WITH
Beony Beesbury,ALLIED_WITH,House Beesbury of Honeyholt,ALLIED_WITH
Sylas,ALLIED_WITH,House Greyjoy of Pyke,ALLIED_WITH
Robb Reyne,ALLIED_WITH,House Reyne of Castamere,ALLIED_WITH
Tallad,ALLIED_WITH,House Baratheon of King's Landing,ALLIED_WITH
